NmeaType,Sequence,FrameID,RosStamp,TalkerID,MessageID,UTCTime,Latitude,LatitudeDirection,Longitude,LongtitudeDirection,QualityIndicator,NumSatellitesInUse,HDOP,Altitude,AltitudeUnit,GeoidSeparation,GeoidUnit,AgeOfDifferentialData,DifferentialReferenceStationID
GGA,15,gps,1697615408.218504,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,27,gps,1697615409.218646,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,39,gps,1697615410.218686,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,51,gps,1697615411.225982,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,63,gps,1697615412.218389,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,75,gps,1697615413.221334,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,87,gps,1697615414.22597,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,99,gps,1697615415.227372,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,111,gps,1697615416.218552,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,123,gps,1697615417.227735,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,135,gps,1697615418.224621,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,147,gps,1697615419.218456,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,159,gps,1697615420.223269,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,171,gps,1697615421.224398,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,183,gps,1697615422.222866,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,195,gps,1697615423.223418,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,207,gps,1697615424.223592,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,219,gps,1697615425.226736,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,231,gps,1697615426.227098,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,243,gps,1697615427.224403,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,255,gps,1697615428.2245,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,267,gps,1697615429.226922,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,279,gps,1697615430.225864,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,291,gps,1697615431.222205,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,303,gps,1697615432.230692,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,315,gps,1697615433.229308,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,327,gps,1697615434.222589,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,339,gps,1697615435.218381,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,351,gps,1697615436.217507,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,363,gps,1697615437.219751,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,375,gps,1697615438.224891,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,387,gps,1697615439.221932,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,399,gps,1697615440.225696,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,411,gps,1697615441.223262,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,423,gps,1697615442.223192,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,435,gps,1697615443.218445,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,447,gps,1697615444.2244,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,459,gps,1697615445.224351,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,471,gps,1697615446.224307,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,483,gps,1697615447.227745,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,495,gps,1697615448.222487,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,507,gps,1697615449.218597,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,519,gps,1697615450.227135,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,531,gps,1697615451.223403,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,543,gps,1697615452.223709,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,555,gps,1697615453.219047,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,567,gps,1697615454.228893,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,579,gps,1697615455.223069,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,591,gps,1697615456.22469,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,603,gps,1697615457.225382,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,615,gps,1697615458.223053,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,627,gps,1697615459.217431,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,639,gps,1697615460.217885,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,651,gps,1697615461.223446,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,663,gps,1697615462.217044,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,675,gps,1697615463.224675,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,687,gps,1697615464.217257,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,699,gps,1697615465.217079,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,711,gps,1697615466.225878,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,723,gps,1697615467.216174,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,735,gps,1697615468.225018,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,747,gps,1697615469.217769,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,759,gps,1697615470.228,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,771,gps,1697615471.228018,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,783,gps,1697615472.225334,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,795,gps,1697615473.216941,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,807,gps,1697615474.21925,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,819,gps,1697615475.223793,GN,GGA,,,,,,0,00,99.99,,,,,,
GGA,831,gps,1697615476.22568,GN,GGA,,,,,,0,00,99.99,,,,,,
